Item ID,Title,Feedback
2.76429E+11,Samsung Galaxy S22 S22+ S22 Ultra 5G - 128GB - Unlocked Verizon T-Mobile AT&T,"got refunded. Item was pretty worn on the outside. lots of scratches for the price.,The reason I purchased these vitamins is because of my eyesight. After a week of taking the supplement my eyes feel less strain. 👍,Came with a screen protector. COOL! However, the screen protector makes the fingerprint scanner useless. Not so cromulent!,Works as expected,Happy with item and description left by seller. Also bonus item was a surprise.,Looks and work great,Everything worked great.,Looks great! Thank you for the protector!,Had the phone for a little bit now so far so good no issues great seller fast shipping thank you.,Item as described & fast shipping <3"
2.56194E+11,Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,"I’m very satisfied with my phone, good quality and the battery’s working perfectly like it was new, and the phone no scratches in it, very beautiful, I’m recommend it,I love the item.. dents only on the side maybe cause by wearing some cases but can also cover with case😊 over all in very good condition..thank you very much,As described. Nice quality phone. No signs of wear at all.,Great condition, added extras. Very happy with product. Very fast shipping as well. Thank you!!,Love my phone it works great and looks new thank you very much I will be ordering from you again,Amazing. The phone runs perfect and the camera is great.,Phone is just the way it was described; works perfectly, and had no issues activating it. This is my second purchase from this seller- very happy! Highly recommend!,Excellent! everything was perfect and working just good as new!,Excellent! everything was perfect and working just good as new!,everything was fast and quick and the product is good!"
2.76523E+11,Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,"Phone came in good condition. Screen protector on it which was unexpected. There's a large gap on right side, I don't think could be avoided since there is a slight warp to the screen preventing the protector from setting flat. My guess is that there may have been a battery that warped the screen a little. It's barely noticeable except for the screen protector. Since I don't tend use these I might remove it to improve touch sensitivity. No fault of TechHobbies. Love the phone! Works well!,So far so good, everything works and in good condition! Delivered quickly and packaged well. Price was right. My son has this phone and told me to try it, glad he did.,The refurbished phone arrived in near mint condition, exceeding my expectations. Except for two tiny almost-not-there scratches on the back and arriving in a plain box, it's like new. Plus, it arrived with a screen protector already installed, and shipping was fast! Thanks!,Phone arrived quickly in perfect condition! I was quickly able to hook it up to mobile network and start using it.,It arrived in an almost new condition. I wanted to test it out for sometime before leaving a review and the phone is still working like if I bought from the store.,Phone is unlocked as advertised and was quick and easy to setup. Very affordable and works very well with my service provider (T-Mobile). Definitely recommend this seller.,Light scratches and wear as expected. Battery in great shape. Functions perfectly.,Great phone works pretty good anybody looking for an experience similar to iphone should look more forward to getting a pixel 7 pro or higher,Perfect item, exactly as described, shipped securely and promptly. They even applied a screen protector, which was an extremely pleasant surprise.,Item works, look great for something that's used. Updates without any issues. Good purchase, great seller"
2.76083E+11,Apple iPhone 11 - 64GB 128GB - Unlocked Verizon AT&T Cricket T-Mobile - Good!,"Honestly was not expecting much but phone looks almost brand new works only thing is that it’s not an poke battery but the phone literally works so I say that’s a 5/5 in my book,Fast delivery, phone is in great shape and works perfect so far. Also came with a screen protector already on it. Very happy with my purchase!,Works great, great condition. Came with a screen protector already installed. Thanks!,Ordered my phone on a Sunday night and I had it on tue afternoon. That was great. Phone is in great condition and got it working quickly.,Item was in great condition. They shipped quickly, but USPS caused a delay in transit. I would buy from this company again.,This is an honest seller, the network was the CORRECT one I chose (unlocked) many sellers claim otherwise & send you incorrect devices so if you're having worries you can trust this seller. Phone is in brand new like condition, fully functional. Arrived early, fast shipping.,Item was delivered and activated with no problem on boost mobile.,Daughter loves it,Phone in great condition my son is extremely happy with his gift. Shipping was fast.,Packaged well, fast shipping and exactly as described"
2.04383E+11,SHARP AQUOS Keitai 601SH Softbank Unlocked SIM Free variation lot,"The phone just looks perfect. It's the aesthetic beautiful phone as promised. It used my sim card, mobile net and wifi perfectly. The pictures it takes are great quality, the touchpad feels incredible! However I had a huge problem. It was constantly freezing and the battery didn't want to charge. I'm sad having to send it back, since this is my dream phone. But the seller was incredibly nice and polite, paid me back everything, paid for the return post fees as well. I recommend this seller!,Phone is in very good condition Fast shipping Good communication with dealer For this price it doesn’t make sense to buy a new phone In Poland it does work without any issues Phone is very good Japanese quality You can’t make anything wrong with buying this device I love it It’s stylish Satisfying to use Probably does have a better antenna than my iPhone Metal abs plastic and glass combined,amazing condition! it doesn't even look used not a single scratch or imperfection! unfortunate that it doesn't seem to be compatible with any U.S carriers but i love it regardless. it took about 3 weeks to be delivered but it was worth the wait, seller is very responsive, would definitely buy from here again :),got here SUPER fast! Item was pretty much exactly how it was described. I will note, *this does not work on north American carriers*, but I knew this getting into it! The battery life is short but that's to be expected, since its not really a phone youre gonna have screen-on all day. No complaints, got exactly what I ordered. if I TRIED to complain, it could have been nice to have had software updates done (since this requires a USIM), but thats a nitpick. Would buy from this seller again!!,Order arrived earlier than expected and it was in great condition! Phone works perfectly! It has some very minor scratching, something expected with a used product, but nothing too visible. Overall, excellent seller and product!,Arrived way earlier than expected which was a nice surprise. The packaging made me nervous at first because the phone was only wrapped in one thin layer of bubble wrap and then put inside an envelope - but when I opened it, the flip phone was working just fine! Some scratches, a few chipped corners, and dirt but I expected it anyway as a long-time tech thrifter (just clean it with alcohol and you'll be fine). Happy with my purchase, thank you.,The device looks new. little scratch but its manageable. although the phone flip is damage it was hard to close i just put rubber to keep them close 🥲. but no expectations its a 2nd hand phone so i think it was ok for my first flip phone. The seller is hard to chat its like im talking to myself he/she just reply once and didn't reply to my inquiry. Anyway thats all. 🥲. Thanks for the phone...🥲❤️🥲❤️🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲📱📱📱❤️❤️❤️🙏🏻🧿💭🥤✔️🌸🎉🎈🫠🫠🫠🫠🫠🫠,The seller was extremely friendly and responded quickly to all my inquiries. The phone works perfectly in Sweden with a Comviq SIM. If the phone asks for a PIN, the seller is very quick to assist. The display of the phone is flawless, and while the casing has some minor wear, it’s completely expected for a second-hand device and not an issue at all. I ordered on June 9th and it arrived on June 13th with express shipping. I highly recommend this seller and will continue to do so in the future.,Zustand des Flipphones war besser als erwartet und hatte quasi keine Mängel. Einfach meine SIM und eine 32GB SDcard rein und schon war das Handy komplett ready. Fühlt sich sehr hochwertig an und sieht sehr stylisch aus :D,Great phone for basic needs, Whatsapp can be installed via ADB installer (Manually from pc), there are YouTube Tutorials for this. Im a tech minimalist and this phone is not only super aesthetic its also cute. The Seller responds really quick and is helpful. NOTE: If you have no Data Roaming with this phone, you need to Set an APN. Its super Easy."
1.55814E+11,Nokia 3310 Navy blue Unlocked 2G GSM 900/1800 Mobile Phone (with Snake II Game),"Muy buen producto y buena calidad,Very smooth transaction, the item looks and works perfectly,good quality as described,came in looks good will be a gift hope she like it,El teléfono funciona, pero no se puede hacer nada solo subir o bajar el volumen, no se tiene menú, no se puede llamar nada, es como de muestra. Mala la compra. No la recomiendo, además el teléfono es muy pequeño parece encendedor,Just as described. My son loves it.,Thank you so nice item and fast shipping,good item as described￼,Nice phone bring it back my old memory.,A+++ working perfect"
1.56323E+11,"Samsung Galaxy Folder 2 SM-G1600 Dual Sim 16GB Android Unlocked 3.8"" Smartphone","the phone works perfectly and it arrived sooner than I expected (it was supposed to arrive on sep. 26, it arrived sep. 6). It is in perfect condition and comes with all the protectors and a brand new battery, box included as well. The comunication with the seller was so good as well!!,is a fun lil phone, looks brand new. thanks,Be careful before purchasing. Make sure your SIM card will both fit and give service. This phone only supports older service bandwidths and will not/selectively work. My sim from my iPhone 13 doesn’t work. The phone itself came packaged beautifully though. The main functions work. The screen is large and so is the keypad. Google Play and other Samsung apps/functions work. If you have a supporting SIM card, this would be a great purchase for you.,It arrived so fast and the quality is perfect!,Great phone, seller was very communicative.,I love it. It came to me within a week. Seller communicates well and right away!!!,Seller was very responsive with inquiries on item and polite!,Fidèle à l'annonce, arrivée plus rapidement que prévue,Great service!,Pronto, cancele o pedido"
2.75343E+11,Samsung Galaxy S10 S10e S10+ Plus 128GB 512GB Unlocked Verizon T-Mobile AT&T,"Phone came in timely manner and came as advertised. Check notepad though when you get phone. looks like there was a string of code text someone saved prior to me receiving it, even though i did a factory reset as soon as i turned on. ALSO beware that samsung galaxy s10 stopped supporting visual voicemail, which is a main reason i bought the phone. otherwise, transaction with seller was great.,Came fast and was exactly what I needed. I had no problems with the phone setup and was able to get everything up and running the same day. Will be back if I ever need another device!,For my family over the years, I've purchased many phones from different companies on Ebay. This was by far the best one! They had several options to choose from including specific model, condition, carrier, and color. A very impressive selection and priced well! We will definitely return for future purchases!,Just as described. This phone work awesome!,Physically as good as they say 9/10. Fast shipping and it seems all original. Everything inside works 10/10 the battery in good conditions. I'll buy again. So happy with the item!,My kid loves the phone says it's way better than the last one she had... so way to go ... and it works great thank you,Phone was as stated, lightly used and in good condition.,Phone works well. Easily worked with our service. Son was able to transfer everything with an app.,This is a nice phone, will work for us. It is an upgrade from our older phone that no longer supported many applications we need. The phone was refurbished, as we can tell where the screen had been replaced, but for the cost I am happy. I didn't expect to have to pay an additional $35 for shipping, in addition to the $13.86 indicated on the listing.,Love it. Absolutely no issues with the shipping whatsoever. Phone arrived in flawless condition, and performs great. An absolute delight of a phone, and a experience. 21/10, would buy again."
2.56195E+11,Google Pixel 7 Pro 128GB Unlocked - Very Good,"Este producto es renovado por Ebay pero funciona a la perfección en realidad parece nuevo y aunque la descripción decía que tenía signos de uso en realidad el celular está nuevo, mu gusta mi Google 7 pro.,Pleased with shape of phone newish looking,very surprised by box it come in better than most OEM boxes plus cable an charger, everything so far seems to work on unit fast free UPS ship impressed, Think I will be back in future.,Pixel 7 Pro has been working great. Could only find a teeny-tiny scuff on the edge of the camera bezel that you could only see if the light hit it just right. Basically, phone was like new. Very happy with the purchase.,Phone came in considerably earlier than was estimated and it's overall condition is pretty good. Got some minor marks on the camera bump and on the screen but you will struggle to notice after a few minutes of use. So far everything I've tested was functional so I'd say I'm satisfied.,This item came way better than I thought it would. The phone came in perfect condition and no issues at all. The packaging id say would be better with at least a 1 layer mini bubble wrap inside the phone box since it was really rattling. Other than that it's all just so perfect. I will be using this store for more items in the future.,Seller shipped out right away! Both phones were in amazing external condition however one had a screen issue causing it to flicker but after messaging with photos the seller immediately accepted a refund. Great packaging too! 10/10,Honestly the phone is in pristine condition. Looks great and works great.,Exactly what I expected. Fast shipping. Works great.,Came in perfect condition,Very nice phone, I can't find any scratches! Very fast shipping! I would buy from them again"
4.04912E+11,FOR SPECTRUM Motorola Razr+ Plus 40 Ultra XT2321 256GB Infinite Black - Good,"This phone is like-new condition, better than the listing describes. Reasonable price and fast shipping. Spectrum office easily switched SIM card from antiquated flip phone and MotoRazr up and running. Would do business again with seller,Great item, much better than good quality. Would not recommend buying if not going to stay on spectrum. Took an arm and a leg to unlock.,Superb condition. Works awesome. Recommend seller!,I like that this phone is ebay favtory refurbished and has a 1 year warranty.Thank you.,phone delivered fast and in great shape. Listed as ""good"" but I would consider it ""excellant"",It works, and at an unbeatable price :),Love the phone! Excellent condition 👍,Its Like it was brand new,muy buen estado,Amazon seller the phone was great👍"
